dataset,dataset_label,seed,eta_g,theta,k,T,adaptive_variance_threshold,status,error,rmse_to_clean,mean_l2_to_clean,mean_distance_to_clean_cloud_approx,q90_distance_to_clean_cloud_approx,mean_local_dim,normal_energy_ratio_mean,normal_energy_ratio_median,normal_energy_ratio_q90,velocity_tangent_alignment_mean,velocity_tangent_alignment_median,velocity_tangent_alignment_q10,velocity_tangent_alignment_zero_velocity_fraction,velocity_neighbor_direction_agreement_mean,velocity_neighbor_direction_agreement_median,velocity_neighbor_direction_agreement_q10,velocity_neighbor_direction_agreement_zero_velocity_fraction,velocity_smoothness_mean,velocity_smoothness_median,velocity_smoothness_zero_velocity_fraction,displacement_mean,displacement_median,displacement_q90,displacement_relative_to_local_scale_mean,displacement_relative_to_local_scale_q90,knn_overlap_mean,knn_overlap_median,knn_overlap_q10
s_curve,S-curve velocity flow,43,0.35,0.3,25,3,0.8,ok,,0.7156206526221343,0.6960360115710214,0.5765812919117276,0.7493326131340218,4.0,0.47998315553753623,0.48313270419325544,0.5339401923344054,0.7515754779767874,0.8270984156481707,0.40219119298218375,0.0,0.6835885938088296,0.7181586532519801,0.5079223233175569,0.0,0.1132612186698447,0.11092124298828383,0.0,0.6582912312412184,0.6526758224168862,0.8465310246868236,0.4021908314297627,0.5171981647209954,0.7491999999999999,0.76,0.64
s_curve,S-curve velocity flow,43,0.35,0.3,25,3,0.9,ok,,0.7156206526221343,0.6960360115710214,0.5765812919117276,0.7493326131340218,4.0,0.47998315553753623,0.48313270419325544,0.5339401923344054,0.7515754779767874,0.8270984156481707,0.40219119298218375,0.0,0.6835885938088296,0.7181586532519801,0.5079223233175569,0.0,0.1132612186698447,0.11092124298828383,0.0,0.6582912312412184,0.6526758224168862,0.8465310246868236,0.4021908314297627,0.5171981647209954,0.7491999999999999,0.76,0.64
s_curve,S-curve velocity flow,43,0.5,0.05,15,3,0.8,ok,,0.7356313663809999,0.7135908957283279,0.600198115833091,0.837891355452387,3.84,0.48260584537542184,0.48317378333023175,0.5455710601979429,0.7332929567825822,0.8072312873705687,0.39458319751913296,0.0,0.6789802314234972,0.7125932957538829,0.38041218277669875,0.0,0.12356848382082078,0.13360324354257114,0.0,0.6752269705408389,0.6707860846835028,0.8312046271545996,0.41253792211931833,0.5078343204621473,0.7408,0.76,0.64
s_curve,S-curve velocity flow,43,0.5,0.05,15,3,0.9,ok,,0.7356426392299978,0.713600794413547,0.6001819251628171,0.837891355452387,4.0,0.4826070822548324,0.48315782754223524,0.5455710601979429,0.7239201948192143,0.8043861164770401,0.3935279361462869,0.0,0.6730301733504576,0.7103099951602088,0.3564967541029196,0.0,0.12542191612240688,0.14661944686311762,0.0,0.6752407162532564,0.6707860846835028,0.8312046271545996,0.4125463202252681,0.5078343204621473,0.7408,0.76,0.64
s_curve,S-curve velocity flow,43,0.5,0.05,25,3,0.8,ok,,0.7057904929465288,0.6819210927894989,0.5578388146036448,0.7437043476634059,3.96,0.4401850915926414,0.4373082787116295,0.49335976667307846,0.7845650714616561,0.853435468221083,0.5364927760260892,0.0,0.6666843114334076,0.7152237486268136,0.3970160816385334,0.0,0.11804201626249211,0.12626618253881478,0.0,0.7219989659691975,0.7223679931860643,0.8997819750692753,0.4411138271841506,0.5497324641196994,0.7276,0.72,0.64
s_curve,S-curve velocity flow,43,0.5,0.05,25,3,0.9,ok,,0.7057904929465288,0.6819210927894989,0.5578388146036448,0.7437043476634059,4.0,0.4401850915926414,0.4373082787116295,0.49335976667307846,0.7822014567291738,0.8497108527158348,0.5364927760260892,0.0,0.6638100046710887,0.7152237486268136,0.3696889189939205,0.0,0.12063403484488415,0.12914513945975,0.0,0.7219989659691975,0.7223679931860643,0.8997819750692753,0.4411138271841506,0.5497324641196994,0.7276,0.72,0.64
s_curve,S-curve velocity flow,43,0.5,0.15,15,3,0.8,ok,,0.7302282897931323,0.7088624073522937,0.5884374078210727,0.7672047146095327,3.85,0.47429774629617955,0.47115269922357506,0.530466480438148,0.7210054322089212,0.7778312463130088,0.4072876583016892,0.0,0.6730763025314508,0.7067746898970595,0.41075478639583685,0.0,0.12251652023633891,0.1279441006471648,0.0,0.6855029450547767,0.6891320869401854,0.8420379161053324,0.4188161505649852,0.5144530467696492,0.7387999999999999,0.76,0.64
s_curve,S-curve velocity flow,43,0.5,0.15,15,3,0.9,ok,,0.7302282897931323,0.7088624073522937,0.5884374078210727,0.7672047146095327,4.0,0.47429774629617955,0.47115269922357506,0.530466480438148,0.7156125136440187,0.7745120914157271,0.3924374153034936,0.0,0.6688096867310506,0.7067746898970595,0.41075478639583685,0.0,0.12124888217069549,0.12559300724823846,0.0,0.6855029450547767,0.6891320869401854,0.8420379161053324,0.4188161505649852,0.5144530467696492,0.7387999999999999,0.76,0.64
s_curve,S-curve velocity flow,43,0.5,0.15,25,3,0.8,ok,,0.6905644697157333,0.6680338492906536,0.5412646032570264,0.7233395207160228,3.94,0.42469769979631855,0.4260686944801557,0.4746129669742974,0.7827214854575374,0.8219604996351406,0.5423385632560945,0.0,0.6770928999642625,0.724985058924895,0.40170622981066906,0.0,0.11929807137680935,0.12397567912328927,0.0,0.7359431078736864,0.7369999962118555,0.9039526409696678,0.44963316598130676,0.552280581892637,0.7212000000000001,0.72,0.64
s_curve,S-curve velocity flow,43,0.5,0.15,25,3,0.9,ok,,0.6905644697157333,0.6680338492906536,0.5412646032570264,0.7233395207160228,4.0,0.42469769979631855,0.4260686944801557,0.4746129669742974,0.7805909856589097,0.8187052779349455,0.5568278603063469,0.0,0.6758483235313604,0.7211010083469733,0.40170622981066906,0.0,0.11896848319705697,0.12286895824495402,0.0,0.7359431078736864,0.7369999962118555,0.9039526409696678,0.44963316598130676,0.552280581892637,0.7212000000000001,0.72,0.64
s_curve,S-curve velocity flow,43,0.5,0.3,15,3,0.8,ok,,0.7243525446661933,0.7028204994712778,0.582074084697378,0.7711557601194053,3.85,0.4780971955487555,0.48000102855464233,0.5427992333454678,0.7153421795579036,0.7812531637585359,0.34042586575434763,0.0,0.6882154665214181,0.7043081774675082,0.42554992334181296,0.0,0.11537830586556763,0.13048289180394002,0.0,0.6902266310657211,0.6928388385409481,0.8461412421420758,0.42170214253023247,0.5169600224546108,0.7272000000000002,0.72,0.636
s_curve,S-curve velocity flow,43,0.5,0.3,15,3,0.9,ok,,0.7243525446661933,0.7028204994712778,0.582074084697378,0.7711557601194053,4.0,0.4780971955487555,0.48000102855464233,0.5427992333454678,0.7073335977518107,0.7877776459052372,0.32230631598439263,0.0,0.6812143766061357,0.7018887021975259,0.45000030532449065,0.0,0.11577878471829972,0.12444231986117887,0.0,0.6902266310657211,0.6928388385409481,0.8461412421420758,0.42170214253023247,0.5169600224546108,0.7272000000000002,0.72,0.636
s_curve,S-curve velocity flow,43,0.5,0.3,25,3,0.8,ok,,0.6915332400626225,0.6694179882453932,0.5395972041786977,0.7253211186213527,3.95,0.4301081969586552,0.4332251842947282,0.4801553639051995,0.7531257484241998,0.7938692926791977,0.4378412587954301,0.0,0.7009551991640603,0.73795286271372,0.4904618244901736,0.0,0.1118831028778151,0.12448010965308177,0.0,0.7464101854367025,0.7480310635049663,0.9218635026352532,0.45602815110023603,0.5632234351512513,0.7212,0.72,0.636
s_curve,S-curve velocity flow,43,0.5,0.3,25,3,0.9,ok,,0.6915332400626225,0.6694179882453932,0.5395972041786977,0.7253211186213527,4.0,0.4301081969586552,0.4332251842947282,0.4801553639051995,0.7516119660310722,0.7938692926791977,0.4378412587954301,0.0,0.6996679397658607,0.7333902504008145,0.4904618244901736,0.0,0.11205067433945849,0.12384773928445636,0.0,0.7464101854367025,0.7480310635049663,0.9218635026352532,0.45602815110023603,0.5632234351512513,0.7212,0.72,0.636
